iter	RMSE
0	11.15542958
1	11.02376633
2	10.89450454
3	10.82029026
4	10.69942091
5	10.58345425
6	10.46798807
7	10.34627373
8	10.22900778
9	10.11530479
10	10.02792826
11	9.944601772
12	9.858056801
13	9.780675355
14	9.683261542
15	9.591584483
16	9.49896281
17	9.401435415
18	9.277503247
19	9.19949555
20	9.115455163
21	9.031007233
22	8.954203721
23	8.868256254
24	8.793426108
25	8.722229974
26	8.637823865
27	8.56686671
28	8.491829464
29	8.416631173
30	8.359296989
31	8.291297936
32	8.229635529
33	8.132265615
34	8.086872679
35	8.013579326
36	7.948662653
37	7.903045484
38	7.857545476
39	7.803510952
40	7.750602391
41	7.70437674
42	7.659221351
43	7.599010224
44	7.538667609
45	7.477342081
46	7.412846157
47	7.344210555
48	7.290491328
49	7.230603106
50	7.170551884
51	7.107364799
52	7.065930195
53	7.01961217
54	6.960349595
55	6.917320354
56	6.873186691
57	6.7978016
58	6.755665107
59	6.724282699
60	6.668459527
61	6.617616981
62	6.576992147
63	6.529761794
64	6.475983628
65	6.425846049
66	6.374065505
67	6.320106948
68	6.275579125
69	6.232216292
70	6.187292885
71	6.164727108
72	6.127825931
73	6.08323176
74	6.047452468
75	5.999499775
76	5.953197863
77	5.909792684
78	5.874630314
79	5.822832724
80	5.797884582
81	5.772927808
82	5.748447295
83	5.708762218
84	5.677094044
85	5.643036649
86	5.603322824
87	5.551334882
88	5.523804687
89	5.506140053
90	5.471381866
91	5.434534256
92	5.401841265
93	5.358149223
94	5.322797903
95	5.283729902
96	5.251883627
97	5.218509146
98	5.189398057
99	5.152898281
100	5.125188347
101	5.105893452
102	5.065971357
103	5.025026477
104	4.992722093
105	4.958893375
106	4.919781503
107	4.899494891
108	4.87151092
109	4.840939343
110	4.810547525
111	4.789463727
112	4.761354752
113	4.732347574
114	4.70774599
115	4.685139672
116	4.652619969
117	4.626412822
118	4.599966268
119	4.564553209
120	4.535523406
121	4.512043118
122	4.484545368
123	4.456848549
124	4.436706001
125	4.413463954
126	4.396507906
127	4.374685231
128	4.35306086
129	4.324155795
130	4.297490535
131	4.272559728
132	4.244793124
133	4.214349492
134	4.190489613
135	4.157703567
136	4.12990465
137	4.104324122
138	4.073096256
139	4.047654282
140	4.031516075
141	3.997176072
142	3.970128243
143	3.946800561
144	3.923769475
145	3.896538697
146	3.868001584
147	3.839786991
148	3.823340244
149	3.801676288
150	3.789247129
151	3.761390866
152	3.733785399
153	3.709726475
154	3.682406286
155	3.65196575
156	3.640885692
157	3.616065669
158	3.598895673
159	3.574086311
160	3.558271549
161	3.531210533
162	3.507301531
163	3.482048674
164	3.465736639
165	3.449211132
166	3.424791891
167	3.410606775
168	3.393376387
169	3.368160759
170	3.344423791
171	3.321397358
172	3.301761304
173	3.280033346
174	3.263535477
175	3.243603847
176	3.218203556
177	3.194978253
178	3.173737964
179	3.150778124
180	3.12163366
181	3.093263817
182	3.070232536
183	3.054493505
184	3.029587971
185	3.00913869
186	2.984627151
187	2.966942243
188	2.934901383
189	2.918621648
190	2.888388756
191	2.873805689
192	2.853177628
193	2.83285852
194	2.80603219
195	2.77615212
196	2.755484583
197	2.735450634
198	2.710769017
199	2.687013246
200	2.663071192
201	2.645177403
202	2.626510165
203	2.612678839
204	2.595446358
205	2.573875443
206	2.549424799
207	2.528786412
208	2.511909818
209	2.488971064
210	2.472472066
211	2.457923664
212	2.43807742
213	2.417851845
214	2.404115086
215	2.391330474
216	2.366486167
217	2.344887635
218	2.326926308
219	2.306194708
220	2.283177307
221	2.267120196
222	2.24842967
223	2.231156569
224	2.207751691
225	2.185653355
226	2.17285199
227	2.154247813
228	2.133285765
229	2.116628253
230	2.10271463
231	2.091126648
232	2.074839782
233	2.059028285
234	2.038819764
235	2.018854371
236	2.006867161
237	1.98760277
238	1.970334239
239	1.953640804
240	1.938441579
241	1.921725469
242	1.901147218
243	1.89088794
244	1.872487753
245	1.857382465
246	1.846307166
247	1.836687445
248	1.822178648
249	1.807685757
250	1.791534511
251	1.780125725
252	1.770395667
253	1.754284955
254	1.739702532
255	1.723476506
256	1.711665057
257	1.696604129
258	1.679936642
259	1.667779962
260	1.656863271
261	1.651673265
262	1.636166464
263	1.630780801
264	1.61262561
265	1.600096634
266	1.584894433
267	1.570848071
268	1.563802741
269	1.550414071
270	1.535198209
271	1.520363889
272	1.508796827
273	1.49485699
274	1.478056475
275	1.469167417
276	1.456045672
277	1.443398304
278	1.429519564
279	1.417897761
280	1.403984334
281	1.391600437
282	1.379649278
283	1.369413977
284	1.353780515
285	1.348194577
286	1.34362978
287	1.32851353
288	1.319819173
289	1.31289387
290	1.302686559
291	1.290232583
292	1.278555839
293	1.267689738
294	1.257563543
295	1.248268941
296	1.241468479
297	1.231502224
298	1.219816878
299	1.207931413
300	1.195825462
301	1.190171445
302	1.178660018
303	1.168485747
304	1.16003349
305	1.151997052
306	1.144043105
307	1.13530037
308	1.126672844
309	1.118778623
310	1.10847578
311	1.098918933
312	1.093124206
313	1.085291483
314	1.076371138
315	1.067919296
316	1.059616685
317	1.052226481
318	1.049235628
319	1.040458921
320	1.031118361
321	1.020625906
322	1.010586833
323	1.007199554
324	0.9986020333
325	0.9898481791
326	0.9823841276
327	0.9784602558
328	0.9742512158
329	0.9659014413
330	0.9589267789
331	0.9529526264
332	0.9468757471
333	0.9368882733
334	0.9305441178
335	0.9230052811
336	0.9167956751
337	0.9099458176
338	0.9045376137
339	0.8979420709
340	0.8894089318
341	0.8846162424
342	0.8767011369
343	0.8707039796
344	0.867810301
345	0.8614140682
346	0.8532960323
347	0.8465453058
348	0.8437925585
349	0.8379669656
350	0.830916795
351	0.8230169482
352	0.8184957009
353	0.811819674
354	0.8056896867
355	0.8007348413
356	0.793784349
357	0.7882302846
358	0.7826517298
359	0.7770958535
360	0.7723621844
361	0.7671621781
362	0.7599793441
363	0.7569918886
364	0.7505669024
365	0.7483881031
366	0.7429641198
367	0.7360596924
368	0.7299097604
369	0.7238468131
370	0.7210672916
371	0.7161200563
372	0.7113438958
373	0.7090981638
374	0.7038954339
375	0.7001715641
376	0.6933351257
377	0.6906297337
378	0.6890360429
379	0.6827941376
380	0.6777266374
381	0.6729207986
382	0.6673057171
383	0.6617745674
384	0.6573329038
385	0.6510892537
386	0.6460404781
387	0.6411578184
388	0.6369915499
389	0.6329473702
390	0.6273968511
391	0.6230481301
392	0.6210465422
393	0.6162524981
394	0.6123892041
395	0.6083133786
396	0.6045089862
397	0.6000163968
398	0.5984455185
399	0.5942131885
400	0.5886541778
401	0.5855818702
402	0.5812347848
403	0.5775939065
404	0.572391273
405	0.5672807315
406	0.5654271271
407	0.5622757086
408	0.5586897101
409	0.5542172764
410	0.5502430218
411	0.5460353412
412	0.542370656
413	0.540062175
414	0.538822352
415	0.5347584198
416	0.5312382176
417	0.5300244433
418	0.5261836462
419	0.5227494146
420	0.5203422235
421	0.5171839402
422	0.5133434573
423	0.5087217332
424	0.5077494308
425	0.5066628521
426	0.5029699946
427	0.4996009262
428	0.4967715649
429	0.4932390962
430	0.4918025893
431	0.4901409299
432	0.4890051859
433	0.4869067776
434	0.4849989396
435	0.4818633254
436	0.4789330904
437	0.475707338
438	0.4708865333
439	0.4680902259
440	0.4639907998
441	0.4607569689
442	0.4579182113
443	0.4566164437
444	0.4526325891
445	0.4490955665
446	0.4483776615
447	0.4441801173
448	0.4435803778
449	0.4430194031
450	0.4393834966
451	0.4383475497
452	0.4353053199
453	0.4340693296
454	0.4304616058
455	0.4273472306
456	0.423890896
457	0.4225205066
458	0.4180718065
459	0.4161487423
460	0.4151144831
461	0.4122499251
462	0.4101164396
463	0.4082435727
464	0.4060694074
465	0.4035813814
466	0.4013534933
467	0.3986239755
468	0.3979461598
469	0.3960062185
470	0.3932432687
471	0.3905723917
472	0.3877849897
473	0.385200848
474	0.3832081153
475	0.3808461466
476	0.3774784854
477	0.3764947327
478	0.3739109743
479	0.371361543
480	0.3688171839
481	0.367067415
482	0.3660181986
483	0.3641396414
484	0.3619327694
485	0.3594148118
486	0.3568675566
487	0.3552673809
488	0.352498738
489	0.3495980523
490	0.3476141886
491	0.3449611614
492	0.342803021
493	0.3419642013
494	0.3407356784
495	0.3386796406
496	0.3365562055
497	0.3359619491
498	0.3337080907
499	0.3308922764
500	0.3280858763
501	0.3250033783
502	0.3230024694
503	0.3208155724
504	0.3182791546
505	0.3161627439
506	0.3142055232
507	0.3122737262
508	0.3097983057
509	0.3080009445
510	0.3057838348
511	0.3048835102
512	0.3036484433
513	0.3013326819
514	0.2995283963
515	0.297203856
516	0.2962387791
517	0.2943923807
518	0.2936196755
519	0.2913123403
520	0.2891211147
521	0.2878243542
522	0.2858771979
523	0.285331871
524	0.2836212709
525	0.2820642691
526	0.2800226166
527	0.278129062
528	0.275852355
529	0.2742839451
530	0.2721695159
531	0.2704269977
532	0.268421966
533	0.2665209898
534	0.2646554861
535	0.2627350926
536	0.2612081818
537	0.260410428
538	0.2595460717
539	0.2577958567
540	0.2564685711
541	0.2545735293
542	0.2525464635
543	0.2506308779
544	0.2499150063
545	0.2484842811
546	0.2478194518
547	0.2458695797
548	0.2444313821
549	0.2432837447
550	0.24163712
551	0.2409314425
552	0.2400138864
553	0.2386518165
554	0.2372195956
555	0.2355649234
556	0.2339693811
557	0.232492726
558	0.2313050231
559	0.2305183566
560	0.2287704282
561	0.2279226023
562	0.2270889278
563	0.2261787469
564	0.2249864995
565	0.2233535344
566	0.2221033444
567	0.2209230489
568	0.2196960638
569	0.2182744985
570	0.2176508118
571	0.2160759129
572	0.2144004332
573	0.2136191303
574	0.2121698699
575	0.2116987375
576	0.2100326277
577	0.2089117746
578	0.2081878654
579	0.2069074537
580	0.2063355263
581	0.2052123507
582	0.2038712965
583	0.2024698501
584	0.2020298297
585	0.2005301477
586	0.1991576654
587	0.1980086206
588	0.1963922391
589	0.1950570975
590	0.1939699416
591	0.19271159
592	0.1923289177
593	0.1913540172
594	0.1902656027
595	0.1894362508
596	0.189062414
597	0.1888522122
598	0.1875419273
599	0.1865830583
600	0.1859905525
601	0.1850686905
602	0.1846897184
603	0.1839538567
604	0.1828284948
605	0.1816528495
606	0.1801977537
607	0.1788675165
608	0.1784106889
609	0.1779923546
610	0.1771760057
611	0.1757585563
612	0.1743896527
613	0.1736279177
614	0.1726085066
615	0.1720413333
616	0.1713415727
617	0.1703073764
618	0.1693496261
619	0.1683947078
620	0.1673155294
621	0.1660243154
622	0.1647431685
623	0.1637478733
624	0.1632301136
625	0.1622083986
626	0.1617258993
627	0.1611575853
628	0.1600462111
629	0.1592686488
630	0.1580919608
631	0.1571827756
632	0.15625325
633	0.155277652
634	0.1541131597
635	0.1535433703
636	0.1526568136
637	0.1519963712
638	0.1516141324
639	0.1507811814
640	0.1500074931
641	0.1496797645
642	0.1488658718
643	0.1484167083
644	0.1477690786
645	0.1468832689
646	0.1464164623
647	0.145206244
648	0.144547058
649	0.1434431965
650	0.1426217403
651	0.1420762976
652	0.1409410681
653	0.1397852138
654	0.1390958799
655	0.138066463
656	0.1371795521
657	0.136555455
658	0.1356421749
659	0.1345218147
660	0.1336046266
661	0.1330664739
662	0.1320545476
663	0.131741583
664	0.1315345495
665	0.1305819087
666	0.1298525835
667	0.1295791842
668	0.1289609914
669	0.1283150702
670	0.1274268396
671	0.1265963165
672	0.1261282352
673	0.1255625176
674	0.1245657487
675	0.1243046021
676	0.1235663028
677	0.1229696281
678	0.1223164662
679	0.1220403808
680	0.1217772606
681	0.121021305
682	0.1202545013
683	0.1198972957
684	0.1192467488
685	0.118788694
686	0.1182557199
687	0.1173999683
688	0.1167190001
689	0.1161273552
690	0.1156992299
691	0.1154000511
692	0.1149915586
693	0.1142875222
694	0.1137155057
695	0.1129035532
696	0.1122114723
697	0.1117825942
698	0.1111899321
699	0.1105244255
700	0.1097780428
701	0.1092372171
702	0.109054647
703	0.1082064872
704	0.1075425901
705	0.1072681202
706	0.1064047984
707	0.1061808216
708	0.1054428182
709	0.1047330369
710	0.1040775874
711	0.1038879398
712	0.1031205563
713	0.1026211217
714	0.1021631929
715	0.101332792
716	0.1010003383
717	0.1004318439
718	0.1000636917
719	0.09973291534
720	0.09948198721
721	0.09866999953
722	0.09792481953
723	0.09753691219
724	0.09710586476
725	0.09685310107
726	0.09638495547
727	0.09593797391
728	0.09560374252
729	0.09490100577
730	0.09442776719
731	0.09385954716
732	0.0932827843
733	0.09246728118
734	0.09169122907
735	0.09136656904
736	0.09098558543
737	0.0906005665
738	0.09029225403
739	0.08995442231
740	0.08981333015
741	0.08966365059
742	0.08939182192
743	0.08886456264
744	0.08837514287
745	0.08770175178
746	0.08714849194
747	0.08654004469
748	0.08602166938
749	0.08569620324
750	0.08546752412
751	0.08502346936
752	0.08477559942
