iter	Passed	Remaining
0	3706	3702871
1	6854	3420587
2	10031	3333806
3	13173	3280078
4	16371	3257889
5	19508	3231981
6	22642	3212004
7	25766	3195082
8	28905	3182819
9	32034	3171373
10	35164	3161600
11	38304	3153775
12	41426	3145193
13	44554	3137941
14	47683	3131240
15	50819	3125411
16	53949	3119575
17	57080	3114061
18	60224	3109508
19	63351	3104229
20	66486	3099559
21	69625	3095157
22	72743	3090022
23	75872	3085490
24	79013	3081525
25	82135	3076930
26	85255	3072354
27	88381	3068112
28	91507	3063921
29	94618	3059332
30	97735	3055015
31	100862	3051077
32	104000	3047535
33	107136	3043947
34	110298	3041087
35	113421	3037177
36	116533	3033032
37	119688	3030010
38	122803	3025998
39	125924	3022190
40	129043	3018368
41	132155	3014399
42	135276	3010698
43	138426	3007632
44	141536	3003710
45	144659	3000115
46	147789	2996662
47	150914	2993137
48	154036	2989564
49	157152	2985897
50	160273	2982351
51	163390	2978739
52	166516	2975313
53	169654	2972089
54	172775	2968599
55	175884	2964905
56	179001	2961369
57	182113	2957772
58	185232	2954307
59	188355	2950903
60	191557	2948734
61	194695	2945547
62	197809	2942023
63	200936	2938692
64	204057	2935294
65	207173	2931823
66	210288	2928348
67	213413	2925026
68	216536	2921675
69	219657	2918312
70	222794	2915162
71	225915	2911797
72	229041	2908518
73	232165	2905205
74	235287	2901885
75	238425	2898750
76	241556	2895542
77	244685	2892310
78	247813	2889066
79	250974	2886211
80	254104	2882983
81	257244	2879885
82	260366	2876576
83	263490	2873306
84	266613	2870010
85	269736	2866735
86	272871	2863577
87	275992	2860283
88	279113	2856995
89	282241	2853772
90	285373	2850599
91	288499	2847368
92	291630	2844180
93	294758	2840967
94	297881	2837714
95	301002	2834437
96	304125	2831185
97	307253	2827983
98	310379	2824767
99	313518	2821663
100	316643	2818436
101	319846	2815904
102	323019	2813096
103	326230	2810604
104	329419	2807911
105	332563	2804830
106	335702	2801706
107	338814	2798357
108	341921	2794972
109	345028	2791594
110	348140	2788258
111	351246	2784880
112	354346	2781460
113	357450	2778081
114	360555	2774709
115	363670	2771421
116	366780	2768094
117	369892	2764793
118	372996	2761428
119	376107	2758124
120	379231	2754911
121	382335	2751565
122	385461	2748375
123	388581	2745140
124	391697	2741883
125	394823	2738698
126	397931	2735386
127	401038	2732074
128	404151	2728807
129	407261	2725516
130	410376	2722270
131	413486	2718987
132	416602	2715749
133	419714	2712482
134	422818	2709171
135	425933	2705931
136	429049	2702701
137	432164	2699463
138	435286	2696272
139	438402	2693046
140	441512	2689779
141	444619	2686501
142	447713	2683149
143	450827	2679919
144	453944	2676705
145	457050	2673432
146	460164	2670208
147	463280	2666992
148	466391	2663750
149	469502	2660515
150	472625	2657346
151	475737	2654115
152	478847	2650872
153	481948	2647589
154	485069	2644412
155	488186	2641214
156	491287	2637931
157	494422	2634832
158	497532	2631604
159	500658	2628457
160	503767	2625222
161	506871	2621966
162	509989	2618779
163	513101	2615565
164	516206	2612316
165	519326	2609145
166	522438	2605934
167	525551	2602731
168	528679	2599600
169	531792	2596400
170	534911	2593227
171	538020	2590004
172	541260	2587413
173	544372	2584205
174	547479	2580976
175	550587	2577750
176	553703	2574564
177	556827	2571417
178	559959	2568306
179	563059	2565047
180	566168	2561835
181	569280	2558634
182	572384	2555398
183	575490	2552176
184	578594	2548944
185	581689	2545674
186	584807	2542507
187	587914	2539289
188	591029	2536108
189	594158	2532993
190	597282	2529849
191	600395	2526666
192	603495	2523426
193	606601	2520209
194	609709	2517005
195	612816	2513798
196	615938	2510653
197	619064	2507524
198	622164	2504290
199	625281	2501125
200	628379	2497886
201	631477	2494648
202	634584	2491449
203	637692	2488249
204	640799	2485053
205	643907	2481858
206	647021	2478686
207	650146	2475556
208	653262	2472396
209	656360	2469166
210	659472	2465988
211	662579	2462794
212	665686	2459600
213	668804	2456449
214	671915	2453271
215	675031	2450114
216	678165	2447020
217	681285	2443878
218	684397	2440704
219	687506	2437522
220	690604	2434301
221	693704	2431090
222	696805	2427883
223	699914	2424704
224	703028	2421542
225	706143	2418383
226	709257	2415226
227	712365	2412045
228	715478	2408881
229	718590	2405716
230	721706	2402564
231	724818	2399400
232	727926	2396222
233	731037	2393053
234	734147	2389883
235	737253	2386700
236	740361	2383527
237	743457	2380312
238	746569	2377151
239	749716	2374103
240	752855	2371025
241	755970	2367874
242	759085	2364723
243	762190	2361540
244	765301	2358377
245	768454	2355344
246	771575	2352211
247	774697	2349083
248	777806	2345915
249	780926	2342779
250	784031	2339601
251	787140	2336433
252	790254	2333281
253	793371	2330137
254	796484	2326985
255	799600	2323839
256	802705	2320662
257	805825	2317528
258	808926	2314341
259	812043	2311200
260	815160	2308058
261	818255	2304856
262	821374	2301721
263	824503	2298617
264	827625	2295489
265	830728	2292312
266	833834	2289141
267	836943	2285979
268	840038	2282780
269	843154	2279641
270	846262	2276476
271	849380	2273340
272	852490	2270184
273	855609	2267052
274	858736	2263941
275	861845	2260781
276	864970	2257667
277	868075	2254498
278	871181	2251331
279	874291	2248179
280	877389	2244992
281	880498	2241836
282	883599	2238660
283	886708	2235504
284	889830	2232382
285	892927	2229196
286	896055	2226089
287	899167	2222941
288	902278	2219793
289	905395	2216657
290	908500	2213494
291	911613	2210351
292	914720	2207192
293	917832	2204047
294	920946	2200906
295	924048	2197737
296	927158	2194586
297	930266	2191432
