"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Date
"
North America
","130,353,914","+5,409","1,665,702",+11,"125,805,357","+10,982","2,882,855",2024-01-11
"
Asia
","221,285,051",+5,"1,552,498",,"205,323,950",+1,"14,408,603",2024-01-11
"
Europe
","252,717,157","+2,088","2,092,668",+25,"248,048,475","+6,172","2,576,014",2024-01-11
"
South America
","69,491,576",,"1,364,260",,"66,581,324",,"1,545,992",2024-01-11
"
Oceania
","14,731,298","+1,988","32,076",+10,"14,527,638",+3,"171,584",2024-01-11
"
Africa
","12,857,985",,"258,877",,"12,089,877",,"509,231",2024-01-11
"

",721,,15,,706,,0,2024-01-11
World,"701,437,702","+9,490","6,966,096",+46,"672,377,327","+17,158","22,094,279",2024-01-11
USA,"110,366,452","+5,409","1,191,189                                ",+11,"108,073,499","+7,517","1,101,764",2024-01-11
India,"45,019,214",,"533,402                                ",,N/A,N/A,N/A,2024-01-11
France,"40,138,560",,"167,642                                ",,"39,970,918",,0,2024-01-11
Germany,"38,784,494",,"180,657                                ",,"38,240,600",,"363,237",2024-01-11
Brazil,"38,210,864",,"708,638                                ",,"36,249,161",,"1,253,065",2024-01-11
S. Korea,"34,571,873",,"35,934                                ",,"34,535,939",,0,2024-01-11
Japan,"33,803,572",,"74,694                                ",,N/A,N/A,N/A,2024-01-11
Italy,"26,671,165",,"195,139                                ",,"26,257,742",,"218,284",2024-01-11
UK,"24,812,582",,"232,112                                ",,"24,580,470",,0,2024-01-11
Russia,"23,798,457",,"401,543                                ",,"23,198,668",,"198,246",2024-01-11
Turkey,"17,232,066",,"102,174                                ",,N/A,N/A,N/A,2024-01-11
Spain,"13,914,811",,"121,760                                ",,"13,762,417",,"30,634",2024-01-11
Australia,"11,762,467","+1,984","23,881                                ",+10,N/A,N/A,N/A,2024-01-11
Vietnam,"11,624,114",,"43,206                                ",,"10,640,971",,"939,937",2024-01-11
Taiwan,"10,241,523",,"19,005                                ",,"10,222,518",,0,2024-01-11
Argentina,"10,080,046",,"130,685                                ",,"9,949,361",,0,2024-01-11
Netherlands,"8,623,210",,"22,992                                ",,"8,597,059",,"3,159",2024-01-11
Mexico,"7,702,731",,"334,947                                ",,"6,899,865",,"467,919",2024-01-11
Iran,"7,625,463",,"146,757                                ",,N/A,N/A,N/A,2024-01-11
Indonesia,"6,821,940",,"161,954                                ",,"6,647,104",,"12,882",2024-01-11
Poland,"6,642,966",+922,"120,344                                ",+21,N/A,N/A,N/A,2024-01-11
Colombia,"6,387,632",,"143,113                                ",,"6,206,196",,"38,323",2024-01-11
Greece,"6,101,379",,"37,869                                ",,N/A,N/A,N/A,2024-01-11
Austria,"6,081,287",,"22,542                                ",,"6,054,934",,"3,811",2024-01-11
Portugal,"5,637,114",,"27,853                                ",,"5,608,188",,"1,073",2024-01-11
Ukraine,"5,557,995",,"112,418                                ",,"5,445,577",,0,2024-01-11
Chile,"5,333,334",,"64,497                                ",,"5,252,450",,"16,387",2024-01-11
Malaysia,"5,227,322",,"37,293                                ",,"5,162,135",,"27,894",2024-01-11
Canada,"4,891,249",,"57,274                                ",,"4,788,394","+3,465","45,581",2024-01-11
Belgium,"4,849,006",,"34,376                                ",,"4,800,838",,"13,792",2024-01-11
Israel,"4,841,772",,"12,707                                ",,"4,798,473",,"30,592",2024-01-11
DPRK,"4,772,813",,74                                ,,"4,772,739",,0,2024-01-11
Thailand,"4,763,039",,"34,521                                ",,"4,692,636",,"35,882",2024-01-11
Czechia,"4,752,306",+456,"43,417                                ",+1,"4,700,691",+176,"8,198",2024-01-11
Peru,"4,524,326",,"222,161                                ",,"4,302,165",,0,2024-01-11
Switzerland,"4,441,768",,"14,452                                ",,"4,423,717","+3,706","3,599",2024-01-11
Philippines,"4,138,564",,"66,856                                ",,"4,065,886",,"5,822",2024-01-11
South Africa,"4,076,463",,"102,595                                ",,"3,912,506",,"61,362",2024-01-11
Romania,"3,514,894",,"68,754                                ",,"3,441,500",,"4,640",2024-01-11
Denmark,"3,183,756",,"8,814                                ",,"3,174,942",,0,2024-01-11
Singapore,"2,945,715",,"1,933                                ",,"2,825,182",,"118,600",2024-01-11
Hong Kong,"2,925,231",,"14,378                                ",,"2,909,970",,883,2024-01-11
Sweden,"2,745,098",,"26,433                                ",,"2,715,728",+218,"2,937",2024-01-11
Serbia,"2,609,964",,"18,057                                ",,"2,586,780",,"5,127",2024-01-11
New Zealand,"2,547,458",,"5,293                                ",,"2,537,556",,"4,609",2024-01-11
Iraq,"2,465,545",,"25,375                                ",,"2,439,497",,673,2024-01-11
Hungary,"2,223,831",,"48,917                                ",,"2,152,155",,"22,759",2024-01-11
Bangladesh,"2,046,256",,"29,477                                ",,N/A,N/A,N/A,2024-01-11
Slovakia,"1,873,332",,"21,186                                ",,"1,852,146",,0,2024-01-11
Georgia,"1,855,289",,"17,132                                ",,N/A,N/A,N/A,2024-01-11
Jordan,"1,746,997",,"14,122                                ",,"1,731,007",,"1,868",2024-01-11
Ireland,"1,728,993",,"9,466                                ",,"1,717,998",+715,"1,529",2024-01-11
Pakistan,"1,581,936",,"30,664                                ",,"1,538,689",,"12,583",2024-01-11
Finland,"1,512,868",,"11,140                                ",,"1,498,900",+169,"2,828",2024-01-11
