Date,Country,Predicted_Vaccinations
2022-03-23,Afghanistan,5436552.643460333
2022-03-24,Afghanistan,5435990.47244221
2022-03-25,Afghanistan,5417714.429757893
2022-03-26,Afghanistan,5387694.497390091
2022-03-27,Afghanistan,5352919.0781110525
2022-03-28,Afghanistan,5319455.848257244
2022-03-29,Afghanistan,5289983.004270494
2022-03-30,Afghanistan,5268726.76961571
2022-03-31,Afghanistan,5254722.54109472
2022-03-25,Albania,2829659.1121196747
2022-03-26,Albania,2841709.20541811
2022-03-27,Albania,2856475.5849719048
2022-03-28,Albania,2872897.4117999077
2022-03-29,Albania,2889971.9615912437
2022-03-30,Albania,2908484.2748918533
2022-03-31,Albania,2927517.6502361298
2022-03-26,Angola,18331460.540038705
2022-03-27,Angola,18675082.024199367
2022-03-28,Angola,18998318.084691167
2022-03-29,Angola,19313552.155662417
2022-03-30,Angola,19617243.126808047
2022-03-31,Angola,19911916.181863904
2022-03-26,Anguilla,22210.754028320312
2022-03-27,Anguilla,22242.399149656296
2022-03-28,Anguilla,22256.756833910942
2022-03-29,Anguilla,22264.33709549904
2022-03-30,Anguilla,22262.07344174385
2022-03-31,Anguilla,22250.92575931549
2022-03-30,Argentina,96337665.46344012
2022-03-31,Argentina,96386663.17587823
2022-03-30,Aruba,168601.3509363532
2022-03-31,Aruba,168650.44326281548
2022-03-30,Australia,56082785.23940861
2022-03-31,Australia,56134314.02155596
2022-03-26,Austria,18928950.108354688
2022-03-27,Austria,19020185.20417452
2022-03-28,Austria,19118736.800169945
2022-03-29,Austria,19220145.089244843
2022-03-30,Austria,19327221.454392076
2022-03-31,Austria,19440162.23932028
2022-03-30,Azerbaijan,13392303.254430296
2022-03-31,Azerbaijan,13396155.389614584
2022-03-26,Bahamas,354375.48904538155
2022-03-27,Bahamas,358205.3256905079
2022-03-28,Bahamas,362064.4007706642
2022-03-29,Bahamas,366095.40103554726
2022-03-30,Bahamas,370120.1074683666
2022-03-31,Bahamas,374182.57689356804
2022-03-24,Bahrain,3405538.0211215024
2022-03-25,Bahrain,3410856.867345095
2022-03-26,Bahrain,3416017.254972935
2022-03-27,Bahrain,3421067.971511603
2022-03-28,Bahrain,3425960.229454518
2022-03-29,Bahrain,3430798.659859181
2022-03-30,Bahrain,3435628.219808102
2022-03-31,Bahrain,3440483.181516648
2022-03-30,Bangladesh,233563850.071002
2022-03-31,Bangladesh,234597180.02306885
2022-03-29,Barbados,311533.01703959703
2022-03-30,Barbados,311572.498036623
2022-03-31,Barbados,311593.2929509878
2022-03-27,Belgium,25447586.56872654
2022-03-28,Belgium,25461304.437140465
2022-03-29,Belgium,25481869.206543446
2022-03-30,Belgium,25507644.359300137
2022-03-31,Belgium,25537775.536939144
2022-03-26,Belize,483962.42334008217
2022-03-27,Belize,486973.04399967194
2022-03-28,Belize,490076.8518630266
2022-03-29,Belize,493303.980987072
2022-03-30,Belize,496662.2294641733
2022-03-31,Belize,500190.42065417767
2022-03-23,Benin,4000683.6027975082
2022-03-24,Benin,4386131.495538712
2022-03-25,Benin,4771533.440135479
2022-03-26,Benin,5159008.596697569
2022-03-27,Benin,5544545.216890097
2022-03-28,Benin,5919463.458566308
2022-03-29,Benin,6265906.922147155
2022-03-30,Benin,6580074.586994648
2022-03-31,Benin,6852709.48642373
2022-03-26,Bermuda,129752.19707846643
2022-03-27,Bermuda,130810.50673604013
2022-03-28,Bermuda,131631.5019595623
2022-03-29,Bermuda,132456.95137381554
2022-03-30,Bermuda,133274.91653561592
2022-03-31,Bermuda,134116.30407452583
2022-03-22,Botswana,2538312.4669361115
2022-03-23,Botswana,2912029.7647452354
2022-03-24,Botswana,3393262.703783512
2022-03-25,Botswana,4003968.1944465637
2022-03-26,Botswana,4770547.343425751
2022-03-27,Botswana,5664549.792408943
